time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:03:34,2318, 29490, 13433, 15965, 18305, 18703, 8679, 6616, 6492, 372
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:03:36,93, 536, 149, 212, 749, 1346, 1027, 414, 754, 72
2024-06-27 03:03:37,94, 534, 150, 211, 745, 1347, 1024, 413, 753, 72
2024-06-27 03:03:39,93, 537, 149, 212, 745, 1341, 1022, 413, 752, 72
2024-06-27 03:03:40,94, 537, 150, 213, 748, 1345, 1023, 414, 753, 72
2024-06-27 03:03:41,93, 538, 149, 212, 745, 1344, 1023, 414, 753, 72
2024-06-27 03:03:42,94, 538, 150, 212, 743, 1344, 1024, 413, 752, 72
2024-06-27 03:03:43,93, 537, 150, 212, 747, 1345, 1025, 414, 753, 72
2024-06-27 03:03:44,93, 536, 149, 212, 749, 1345, 1026, 414, 754, 72
2024-06-27 03:03:45,94, 538, 150, 212, 748, 1344, 1024, 414, 753, 72
2024-06-27 03:03:46,94, 541, 150, 212, 748, 1345, 1026, 414, 753, 72
