time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:00:01,5390, 29265, 14054, 17376, 18480, 22790, 11187, 6584, 57303, 2698
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:00:04,138, 259, 110, 133, 1124, 2751, 1683, 674, 3012, 214
2024-07-06 21:00:05,137, 260, 110, 133, 1124, 2751, 1684, 674, 3014, 214
2024-07-06 21:00:06,138, 259, 110, 133, 1123, 2749, 1682, 674, 3011, 214
2024-07-06 21:00:07,139, 259, 109, 133, 1122, 2749, 1684, 674, 3014, 216
2024-07-06 21:00:09,138, 259, 109, 133, 1122, 2748, 1683, 673, 3012, 216
2024-07-06 21:00:10,138, 259, 109, 133, 1122, 2747, 1684, 674, 3014, 216
2024-07-06 21:00:11,137, 258, 109, 132, 1122, 2747, 1683, 674, 3012, 216
2024-07-06 21:00:12,137, 258, 109, 132, 1121, 2747, 1683, 673, 3010, 214
2024-07-06 21:00:13,137, 258, 110, 132, 1122, 2745, 1681, 674, 3010, 214
2024-07-06 21:00:14,138, 258, 109, 132, 1120, 2743, 1680, 672, 3005, 214
