time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:11:18,2206, 20781, 8131, 11657, 14242, 11928, 8121, 4114, 26213, 1098
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:11:21,60, 69, 64, 61, 676, 1822, 1432, 581, 1830, 132
2024-07-08 20:11:22,60, 69, 64, 60, 676, 1820, 1431, 580, 1828, 132
2024-07-08 20:11:23,60, 69, 64, 60, 675, 1815, 1429, 580, 1824, 134
2024-07-08 20:11:24,60, 69, 64, 60, 675, 1817, 1428, 580, 1826, 132
2024-07-08 20:11:25,60, 69, 64, 60, 674, 1816, 1427, 579, 1823, 132
2024-07-08 20:11:26,59, 69, 65, 60, 673, 1812, 1424, 577, 1820, 132
2024-07-08 20:11:28,60, 69, 64, 61, 673, 1809, 1422, 578, 1818, 132
2024-07-08 20:11:29,59, 69, 64, 59, 673, 1811, 1423, 577, 1819, 132
2024-07-08 20:11:30,60, 69, 64, 60, 672, 1809, 1422, 577, 1816, 132
2024-07-08 20:11:31,60, 69, 63, 60, 672, 1806, 1420, 576, 1814, 132
