time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 16:45:54,3, 7, 5, 12, 7, 17, 12, 5, 22, 1
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 16:45:57,4041, 18220, 7841, 11864, 16163, 12198, 9812, 4227, 47163, 1999
2024-10-10 16:45:59,4017, 18132, 7784, 11737, 15976, 12056, 9723, 4189, 46702, 1977
2024-10-10 16:46:02,3979, 18000, 7726, 11584, 15790, 11908, 9624, 4145, 46226, 1956
2024-10-10 16:46:04,3941, 17853, 7671, 11454, 15617, 11772, 9524, 4104, 45828, 1937
2024-10-10 16:46:06,3903, 17681, 7607, 11317, 15433, 11636, 9427, 4062, 45444, 1920
2024-10-10 16:46:08,3867, 17540, 7557, 11207, 15279, 11526, 9344, 4025, 45164, 1907
2024-10-10 16:46:12,11457, 695, 257, 325, 435, 529, 339, 270, 12795, 2
2024-10-10 16:46:14,11599, 705, 256, 322, 435, 527, 339, 267, 12703, 0
2024-10-10 16:46:16,11657, 710, 254, 319, 433, 522, 341, 265, 12618, 0
2024-10-10 16:46:18,11691, 714, 253, 315, 431, 519, 339, 264, 12559, 2
