time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:14:29,2219, 20944, 8173, 11754, 14370, 12023, 8186, 4142, 26454, 1110
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:14:32,92, 624, 199, 262, 634, 753, 543, 247, 1308, 58
2024-07-08 20:14:33,91, 624, 199, 262, 633, 753, 543, 247, 1308, 56
2024-07-08 20:14:34,92, 624, 200, 262, 633, 752, 542, 246, 1306, 58
2024-07-08 20:14:35,92, 624, 199, 262, 633, 752, 541, 247, 1308, 58
2024-07-08 20:14:36,92, 625, 199, 262, 633, 752, 542, 247, 1308, 58
2024-07-08 20:14:38,92, 625, 198, 263, 633, 753, 542, 247, 1308, 58
2024-07-08 20:14:39,92, 626, 199, 262, 633, 751, 542, 247, 1307, 58
2024-07-08 20:14:40,92, 624, 199, 262, 633, 751, 542, 246, 1308, 58
2024-07-08 20:14:41,92, 625, 199, 262, 633, 751, 541, 246, 1307, 56
2024-07-08 20:14:42,93, 626, 200, 262, 633, 752, 541, 247, 1307, 56
