time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 02:55:26,2312, 29501, 13406, 15991, 18312, 18739, 8664, 6621, 6428, 368
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 02:55:29,36, 47, 43, 35, 326, 1316, 1113, 436, 577, 62
2024-06-27 02:55:30,35, 47, 43, 35, 325, 1316, 1112, 437, 577, 62
2024-06-27 02:55:31,35, 47, 43, 36, 326, 1316, 1113, 436, 576, 62
2024-06-27 02:55:32,35, 47, 44, 35, 326, 1318, 1114, 437, 577, 62
2024-06-27 02:55:33,36, 47, 43, 36, 327, 1320, 1116, 438, 578, 62
2024-06-27 02:55:34,35, 47, 43, 35, 327, 1319, 1115, 438, 576, 62
2024-06-27 02:55:35,35, 47, 43, 35, 326, 1318, 1114, 437, 577, 62
2024-06-27 02:55:37,36, 46, 43, 35, 327, 1320, 1116, 438, 577, 62
2024-06-27 02:55:38,35, 47, 43, 35, 328, 1319, 1117, 437, 577, 62
2024-06-27 02:55:39,35, 47, 44, 35, 328, 1320, 1119, 438, 577, 62
