time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:06:33,2726, 24439, 9602, 15519, 16805, 14284, 10839, 4624, 54715, 2014
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:06:36,171, 120, 169, 131, 1100, 7529, 3341, 1955, 6235, 418
2024-07-06 21:06:37,171, 120, 169, 131, 1100, 7529, 3341, 1956, 6236, 418
2024-07-06 21:06:38,171, 119, 169, 131, 1098, 7526, 3340, 1954, 6237, 418
2024-07-06 21:06:39,170, 119, 168, 131, 1099, 7523, 3340, 1954, 6232, 418
2024-07-06 21:06:40,171, 120, 169, 131, 1098, 7517, 3339, 1954, 6228, 418
2024-07-06 21:06:41,171, 120, 169, 130, 1097, 7519, 3340, 1955, 6232, 418
2024-07-06 21:06:42,171, 120, 168, 131, 1098, 7509, 3336, 1951, 6223, 418
2024-07-06 21:06:43,171, 119, 169, 131, 1098, 7518, 3339, 1954, 6226, 418
2024-07-06 21:06:45,170, 119, 168, 131, 1098, 7519, 3341, 1953, 6226, 418
2024-07-06 21:06:46,171, 119, 169, 130, 1098, 7521, 3340, 1955, 6228, 418
