time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:17:58,2203, 20826, 8123, 11702, 14309, 11974, 8147, 4120, 26239, 1104
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:18:01,510, 3684, 1378, 2000, 2853, 2557, 1786, 824, 6566, 254
2024-07-08 20:18:02,510, 3683, 1377, 1995, 2848, 2553, 1782, 822, 6555, 254
2024-07-08 20:18:03,508, 3672, 1375, 1990, 2842, 2548, 1781, 822, 6549, 252
2024-07-08 20:18:04,506, 3666, 1371, 1983, 2838, 2542, 1776, 820, 6532, 252
2024-07-08 20:18:05,506, 3658, 1369, 1982, 2833, 2537, 1776, 819, 6520, 252
2024-07-08 20:18:06,507, 3654, 1368, 1977, 2827, 2533, 1772, 817, 6502, 250
2024-07-08 20:18:08,503, 3643, 1364, 1971, 2824, 2530, 1768, 816, 6495, 250
2024-07-08 20:18:09,504, 3644, 1362, 1969, 2819, 2527, 1766, 815, 6480, 250
2024-07-08 20:18:10,503, 3633, 1359, 1965, 2814, 2524, 1765, 815, 6470, 250
2024-07-08 20:18:11,502, 3630, 1359, 1962, 2813, 2521, 1763, 814, 6459, 248
