time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:25:52,2200, 20883, 8113, 11758, 14366, 12020, 8168, 4131, 26232, 1108
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:25:55,577, 4299, 1735, 2588, 3198, 2697, 1870, 884, 7498, 282
2024-07-08 20:25:56,576, 4292, 1732, 2582, 3195, 2695, 1868, 883, 7487, 282
2024-07-08 20:25:57,577, 4298, 1735, 2585, 3191, 2691, 1865, 881, 7484, 280
2024-07-08 20:25:58,576, 4291, 1734, 2581, 3188, 2690, 1865, 881, 7481, 280
2024-07-08 20:25:59,576, 4293, 1734, 2581, 3186, 2687, 1864, 881, 7473, 280
2024-07-08 20:26:00,573, 4274, 1727, 2568, 3179, 2681, 1860, 880, 7456, 278
2024-07-08 20:26:01,572, 4270, 1727, 2566, 3172, 2676, 1857, 877, 7446, 280
2024-07-08 20:26:02,573, 4271, 1727, 2568, 3173, 2677, 1857, 877, 7446, 278
2024-07-08 20:26:04,573, 4270, 1725, 2565, 3174, 2676, 1858, 879, 7451, 280
2024-07-08 20:26:05,573, 4272, 1726, 2568, 3173, 2676, 1858, 878, 7450, 278
