time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:28:18,2883, 25406, 9705, 15685, 17076, 15413, 10725, 4960, 53983, 1996
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:28:21,382, 2450, 974, 1636, 1824, 1710, 1179, 482, 6502, 234
2024-07-06 21:28:22,381, 2443, 972, 1632, 1817, 1704, 1173, 480, 6478, 232
2024-07-06 21:28:23,380, 2440, 971, 1630, 1815, 1702, 1174, 480, 6467, 232
2024-07-06 21:28:24,379, 2437, 969, 1626, 1815, 1700, 1174, 479, 6465, 230
2024-07-06 21:28:25,379, 2434, 967, 1626, 1812, 1696, 1170, 479, 6454, 230
2024-07-06 21:28:26,379, 2431, 968, 1624, 1810, 1696, 1170, 478, 6448, 230
2024-07-06 21:28:27,378, 2426, 965, 1622, 1809, 1694, 1169, 478, 6443, 230
2024-07-06 21:28:29,378, 2427, 965, 1621, 1808, 1692, 1169, 478, 6440, 230
2024-07-06 21:28:30,378, 2426, 965, 1622, 1807, 1690, 1167, 476, 6432, 230
2024-07-06 21:28:31,377, 2423, 964, 1618, 1806, 1689, 1167, 477, 6428, 230
