time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 16:14:09,3, 7, 5, 12, 7, 17, 12, 5, 22, 2
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 16:14:13,4703, 21850, 9886, 15242, 19043, 13871, 11203, 4853, 57628, 2364
2024-10-10 16:14:15,4683, 21788, 9815, 15121, 18918, 13783, 11144, 4836, 57314, 2350
2024-10-10 16:14:17,4660, 21718, 9788, 15025, 18780, 13684, 11080, 4813, 57028, 2335
2024-10-10 16:14:19,4621, 21559, 9726, 14875, 18647, 13590, 11004, 4789, 56701, 2320
2024-10-10 16:14:21,4611, 21537, 9724, 14822, 18563, 13536, 10968, 4779, 56519, 2311
2024-10-10 16:14:23,4592, 21470, 9708, 14755, 18476, 13473, 10920, 4764, 56291, 2302
2024-10-10 16:14:27,15979, 5389, 4719, 2508, 1580, 1027, 799, 604, 16124, 122
2024-10-10 16:14:29,16121, 5260, 4573, 2437, 1550, 1016, 790, 594, 16043, 118
2024-10-10 16:14:31,16219, 5182, 4485, 2392, 1534, 1007, 786, 589, 16008, 118
2024-10-10 16:14:34,16282, 5125, 4420, 2362, 1521, 1001, 781, 586, 15962, 116
