time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 15:49:16,3, 7, 5, 11, 7, 17, 12, 5, 22, 2
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-10-10 15:49:19,2268, 9879, 4592, 7073, 8791, 6654, 5383, 2161, 36772, 1475
2024-10-10 15:49:21,2261, 9859, 4572, 7025, 8736, 6612, 5357, 2154, 36606, 1467
2024-10-10 15:49:24,2250, 9827, 4560, 6976, 8681, 6571, 5331, 2146, 36428, 1460
2024-10-10 15:49:26,2241, 9802, 4557, 6939, 8635, 6542, 5309, 2140, 36302, 1452
2024-10-10 15:49:28,2231, 9769, 4551, 6901, 8598, 6512, 5291, 2134, 36191, 1447
2024-10-10 15:49:30,2226, 9751, 4548, 6875, 8567, 6496, 5277, 2130, 36090, 1443
2024-10-10 15:49:34,15650, 956, 362, 463, 595, 766, 461, 385, 16663, 12
2024-10-10 15:49:36,15889, 971, 359, 457, 595, 761, 464, 382, 16606, 14
2024-10-10 15:49:38,15993, 980, 358, 454, 597, 758, 466, 380, 16550, 14
2024-10-10 15:49:40,16075, 986, 357, 453, 596, 755, 466, 380, 16502, 14
