time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:49:26,2189, 20899, 8097, 11821, 14447, 12080, 8217, 4138, 26173, 1118
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-08 20:49:29,609, 4675, 1894, 2806, 3489, 2902, 2007, 965, 8174, 312
2024-07-08 20:49:30,609, 4674, 1895, 2804, 3484, 2900, 2005, 965, 8173, 312
2024-07-08 20:49:31,608, 4669, 1892, 2800, 3483, 2897, 2003, 965, 8170, 312
2024-07-08 20:49:32,608, 4668, 1892, 2801, 3481, 2898, 2003, 963, 8168, 312
2024-07-08 20:49:33,610, 4676, 1897, 2804, 3486, 2899, 2006, 964, 8174, 312
2024-07-08 20:49:34,609, 4675, 1896, 2804, 3484, 2899, 2007, 965, 8175, 314
2024-07-08 20:49:35,609, 4674, 1895, 2802, 3486, 2901, 2008, 965, 8180, 312
2024-07-08 20:49:37,609, 4671, 1894, 2802, 3484, 2900, 2005, 966, 8176, 312
2024-07-08 20:49:38,609, 4671, 1895, 2801, 3481, 2897, 2003, 964, 8170, 312
2024-07-08 20:49:39,608, 4666, 1895, 2799, 3483, 2897, 2005, 964, 8171, 312
