time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 01:19:04,2195, 20883, 8016, 11829, 14453, 12071, 8234, 4110, 26623, 1132
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 01:19:07,687, 5320, 2139, 3185, 3959, 3279, 2281, 1091, 9272, 356
2024-07-09 01:19:08,688, 5323, 2142, 3185, 3955, 3280, 2282, 1092, 9273, 356
2024-07-09 01:19:09,687, 5320, 2142, 3184, 3958, 3279, 2281, 1091, 9276, 354
2024-07-09 01:19:10,688, 5322, 2144, 3187, 3957, 3279, 2283, 1091, 9276, 356
2024-07-09 01:19:12,688, 5323, 2143, 3184, 3958, 3279, 2282, 1092, 9277, 356
2024-07-09 01:19:13,689, 5323, 2144, 3187, 3959, 3280, 2283, 1092, 9279, 356
2024-07-09 01:19:14,689, 5322, 2144, 3185, 3955, 3278, 2281, 1091, 9274, 356
2024-07-09 01:19:15,689, 5321, 2143, 3184, 3955, 3277, 2281, 1091, 9271, 354
2024-07-09 01:19:16,688, 5317, 2142, 3180, 3951, 3275, 2278, 1091, 9262, 356
2024-07-09 01:19:17,688, 5321, 2144, 3182, 3954, 3275, 2279, 1091, 9269, 356
