time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 02:43:30,2279, 29167, 13305, 15811, 18103, 18563, 8537, 6574, 6200, 354
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 02:43:33,1214, 8905, 3505, 5434, 6387, 5685, 3529, 1717, 8396, 515
2024-06-27 02:43:34,1215, 8907, 3506, 5435, 6387, 5685, 3532, 1716, 8395, 516
2024-06-27 02:43:35,1216, 8909, 3505, 5434, 6391, 5686, 3532, 1718, 8398, 516
2024-06-27 02:43:36,1216, 8909, 3506, 5435, 6389, 5687, 3533, 1718, 8398, 514
2024-06-27 02:43:38,1213, 8900, 3504, 5425, 6392, 5681, 3528, 1716, 8392, 514
2024-06-27 02:43:39,1216, 8906, 3508, 5433, 6386, 5680, 3528, 1716, 8393, 514
2024-06-27 02:43:40,1217, 8907, 3508, 5433, 6388, 5685, 3533, 1718, 8396, 516
2024-06-27 02:43:41,1216, 8907, 3506, 5430, 6387, 5682, 3531, 1717, 8389, 514
2024-06-27 02:43:42,1216, 8909, 3509, 5431, 6389, 5685, 3529, 1717, 8393, 514
2024-06-27 02:43:43,1217, 8911, 3508, 5432, 6392, 5688, 3533, 1717, 8398, 516
