time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-05 00:28:59,0, 0, 0, 1, 0, 0, 0, 1, 0, 2
2024-07-05 00:29:01,15, 234, 100, 126, 144, 149, 66, 51, 49, 2
2024-07-05 00:29:04,42, 589, 256, 318, 365, 373, 170, 130, 127, 2
2024-07-05 00:29:06,60, 825, 360, 446, 510, 522, 239, 182, 179, 2
2024-07-05 00:29:09,87, 1180, 517, 638, 731, 749, 344, 261, 256, 6
2024-07-05 00:29:12,106, 1415, 620, 765, 875, 896, 411, 313, 307, 10
2024-07-05 00:29:14,132, 1771, 775, 958, 1095, 1121, 516, 392, 385, 14
2024-07-05 00:29:17,151, 2005, 879, 1085, 1243, 1271, 585, 445, 438, 16
2024-07-05 00:29:19,178, 2361, 1036, 1277, 1463, 1495, 690, 524, 515, 22
2024-07-05 00:29:22,197, 2595, 1140, 1405, 1615, 1652, 762, 578, 569, 24
2024-07-05 00:29:25,224, 2951, 1298, 1597, 1829, 1870, 861, 655, 644, 30
2024-07-05 00:29:27,251, 3303, 1452, 1787, 2046, 2093, 965, 733, 721, 34
2024-07-05 00:29:30,269, 3539, 1556, 1915, 2193, 2244, 1034, 786, 774, 36
2024-07-05 00:29:33,295, 3893, 1713, 2106, 2410, 2467, 1137, 863, 850, 42
2024-07-05 00:29:35,314, 4130, 1818, 2234, 2556, 2615, 1207, 916, 903, 44
2024-07-05 00:29:38,342, 4477, 1973, 2422, 2775, 2837, 1309, 994, 979, 50
2024-07-05 00:29:40,358, 4714, 2080, 2550, 2930, 2994, 1382, 1050, 1034, 52
2024-07-05 00:29:43,387, 5069, 2236, 2744, 3141, 3212, 1483, 1126, 1110, 56
2024-07-05 00:29:46,405, 5302, 2340, 2870, 3283, 3359, 1549, 1177, 1160, 60
2024-07-05 00:29:48,431, 5659, 2499, 3061, 3503, 3583, 1655, 1256, 1238, 64
2024-07-05 00:29:51,460, 6008, 2656, 3252, 3725, 3808, 1759, 1335, 1316, 68
2024-07-05 00:29:54,478, 6253, 2764, 3381, 3867, 3956, 1828, 1388, 1365, 70
2024-07-05 00:29:56,504, 6592, 2912, 3567, 4088, 4180, 1930, 1466, 1443, 76
2024-07-05 00:29:59,524, 6831, 3024, 3696, 4233, 4326, 1998, 1519, 1495, 80
2024-07-05 00:30:01,552, 7192, 3184, 3892, 4451, 4554, 2103, 1598, 1574, 84
2024-07-05 00:30:04,570, 7419, 3284, 4014, 4594, 4699, 2169, 1649, 1624, 86
2024-07-05 00:30:07,597, 7775, 3442, 4206, 4813, 4920, 2274, 1727, 1701, 92
2024-07-05 00:30:09,616, 8013, 3551, 4335, 4964, 5075, 2345, 1781, 1756, 94
2024-07-05 00:30:12,643, 8352, 3703, 4518, 5176, 5292, 2445, 1858, 1831, 98
2024-07-05 00:30:14,662, 8595, 3811, 4650, 5321, 5442, 2514, 1910, 1882, 102
2024-07-05 00:30:17,688, 8946, 3969, 4838, 5541, 5668, 2619, 1991, 1961, 106
2024-07-05 00:30:20,715, 9290, 4125, 5024, 5755, 5887, 2721, 2068, 2036, 112
2024-07-05 00:30:22,735, 9534, 4231, 5158, 5887, 6023, 2784, 2116, 2084, 114
2024-07-05 00:30:25,761, 9883, 4391, 5344, 6118, 6258, 2892, 2199, 2165, 118
2024-07-05 00:30:28,780, 10105, 4494, 5468, 6262, 6402, 2960, 2249, 2216, 120
2024-07-05 00:30:30,808, 10472, 4658, 5663, 6481, 6630, 3066, 2330, 2294, 126
2024-07-05 00:30:33,826, 10692, 4758, 5782, 6623, 6773, 3131, 2381, 2344, 130
2024-07-05 00:30:35,853, 11063, 4922, 5981, 6844, 7000, 3237, 2461, 2424, 134
2024-07-05 00:30:38,872, 11285, 5025, 6104, 6991, 7147, 3303, 2512, 2474, 136
2024-07-05 00:30:41,899, 11636, 5182, 6291, 7211, 7366, 3407, 2592, 2551, 142
2024-07-05 00:30:43,928, 11996, 5346, 6490, 7424, 7596, 3513, 2669, 2629, 144
2024-07-05 00:30:46,947, 12228, 5451, 6612, 7573, 7740, 3580, 2723, 2680, 148
2024-07-05 00:30:49,975, 12584, 5614, 6806, 7796, 7970, 3685, 2803, 2760, 152
2024-07-05 00:30:51,991, 12794, 5712, 6921, 7930, 8108, 3749, 2851, 2808, 156
2024-07-05 00:30:54,1019, 13155, 5876, 7116, 8139, 8326, 3850, 2928, 2883, 160
2024-07-05 00:30:56,1039, 13397, 5985, 7249, 8298, 8489, 3927, 2986, 2939, 162
2024-07-05 00:30:59,1066, 13738, 6135, 7429, 8507, 8698, 4020, 3061, 3014, 168
2024-07-05 00:31:02,1085, 13988, 6254, 7566, 8654, 8845, 4093, 3112, 3067, 170
2024-07-05 00:31:04,1112, 14326, 6406, 7744, 8866, 9070, 4195, 3193, 3143, 176
2024-07-05 00:31:07,1130, 14564, 6516, 7877, 9023, 9223, 4266, 3245, 3196, 178
2024-07-05 00:31:09,1158, 14901, 6669, 8062, 9227, 9434, 4365, 3321, 3270, 182
2024-07-05 00:31:12,1186, 15257, 6832, 8249, 9458, 9673, 4474, 3405, 3353, 188
2024-07-05 00:31:15,1205, 15491, 6940, 8375, 9598, 9812, 4540, 3456, 3401, 190
2024-07-05 00:31:17,1233, 15838, 7099, 8568, 9800, 10024, 4639, 3531, 3477, 196
2024-07-05 00:31:20,1251, 16083, 7212, 8698, 9963, 10184, 4712, 3589, 3533, 198
2024-07-05 00:31:23,1277, 16399, 7360, 8872, 10162, 10383, 4806, 3659, 3603, 202
2024-07-05 00:31:25,1297, 16660, 7478, 9014, 10321, 10551, 4882, 3719, 3657, 206
2024-07-05 00:31:28,1324, 16989, 7629, 9187, 10522, 10760, 4980, 3792, 3732, 210
2024-07-05 00:31:30,1344, 17236, 7742, 9320, 10681, 10918, 5053, 3847, 3785, 212
2024-07-05 00:31:33,1370, 17575, 7898, 9505, 10881, 11127, 5153, 3923, 3861, 218
2024-07-05 00:31:36,1400, 17947, 8070, 9707, 11114, 11359, 5257, 4002, 3942, 222
2024-07-05 00:31:38,1418, 18159, 8168, 9826, 11248, 11492, 5322, 4053, 3990, 224
2024-07-05 00:31:41,1447, 18517, 8335, 10013, 11459, 11721, 5426, 4134, 4065, 228
2024-07-05 00:31:43,1464, 18741, 8437, 10138, 11609, 11864, 5493, 4184, 4117, 232
2024-07-05 00:31:46,1494, 19100, 8604, 10328, 11829, 12094, 5598, 4266, 4197, 238
2024-07-05 00:31:49,1511, 19316, 8704, 10450, 11966, 12232, 5663, 4311, 4245, 238
2024-07-05 00:31:51,1538, 19660, 8865, 10632, 12187, 12463, 5769, 4395, 4324, 244
2024-07-05 00:31:54,1556, 19893, 8973, 10765, 12311, 12592, 5831, 4442, 4371, 248
2024-07-05 00:31:57,1586, 20250, 9138, 10953, 12541, 12823, 5937, 4524, 4453, 252
2024-07-05 00:31:59,1603, 20469, 9239, 11070, 12684, 12964, 6004, 4575, 4504, 254
2024-07-05 00:32:02,1632, 20824, 9407, 11263, 12895, 13193, 6109, 4658, 4580, 260
2024-07-05 00:32:04,1658, 21158, 9564, 11445, 13111, 13401, 6205, 4731, 4653, 264
2024-07-05 00:32:07,1677, 21388, 9670, 11570, 13253, 13556, 6281, 4785, 4708, 268
2024-07-05 00:32:10,1705, 21728, 9830, 11762, 13468, 13778, 6380, 4863, 4786, 272
2024-07-05 00:32:12,1725, 21976, 9944, 11890, 13614, 13918, 6445, 4916, 4834, 274
2024-07-05 00:32:15,1752, 22316, 10103, 12071, 13826, 14133, 6545, 4989, 4913, 278
2024-07-05 00:32:18,1772, 22560, 10226, 12205, 13974, 14286, 6616, 5046, 4966, 282
2024-07-05 00:32:20,1797, 22901, 10379, 12393, 14180, 14495, 6714, 5120, 5037, 286
2024-07-05 00:32:23,1819, 23139, 10489, 12521, 14323, 14645, 6788, 5176, 5094, 290
2024-07-05 00:32:25,1846, 23475, 10647, 12703, 14539, 14865, 6886, 5255, 5167, 294
2024-07-05 00:32:28,1872, 23785, 10799, 12878, 14759, 15091, 6991, 5332, 5247, 298
2024-07-05 00:32:31,1892, 24037, 10918, 13010, 14893, 15228, 7058, 5379, 5292, 302
2024-07-05 00:32:33,1922, 24403, 11084, 13207, 15117, 15456, 7161, 5463, 5375, 306
2024-07-05 00:32:36,1940, 24628, 11189, 13328, 15260, 15602, 7227, 5513, 5424, 308
2024-07-05 00:32:38,1969, 24983, 11357, 13521, 15470, 15816, 7331, 5595, 5505, 314
2024-07-05 00:32:41,1987, 25199, 11461, 13636, 15615, 15966, 7398, 5645, 5553, 316
2024-07-05 00:32:44,2014, 25532, 11626, 13819, 15785, 16146, 7478, 5704, 5612, 320
2024-07-05 00:32:46,2034, 25775, 11739, 13952, 15956, 16322, 7562, 5771, 5676, 324
2024-07-05 00:32:49,2063, 26126, 11898, 14136, 16192, 16553, 7670, 5854, 5756, 328
2024-07-05 00:32:52,2080, 26348, 12006, 14259, 16300, 16669, 7728, 5897, 5800, 330
2024-07-05 00:32:54,2109, 26700, 12173, 14453, 16531, 16910, 7834, 5981, 5882, 334
2024-07-05 00:32:57,2137, 27050, 12336, 14635, 16754, 17137, 7939, 6061, 5961, 340
2024-07-05 00:32:59,2155, 27266, 12441, 14759, 16892, 17277, 8007, 6111, 6011, 342
2024-07-05 00:33:02,2183, 27614, 12609, 14945, 17106, 17488, 8109, 6191, 6087, 348
2024-07-05 00:33:05,2203, 27848, 12719, 15072, 17255, 17641, 8176, 6239, 6139, 350
2024-07-05 00:33:07,2230, 28160, 12876, 15251, 17450, 17832, 8272, 6314, 6211, 354
