time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:52:41,3274, 32465, 12388, 18497, 22593, 19047, 12957, 6374, 40855, 1732
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:52:44,519, 1108, 500, 524, 5567, 12540, 9452, 3750, 12974, 925
2024-07-09 16:52:46,520, 1106, 500, 522, 5565, 12537, 9447, 3751, 12966, 929
2024-07-09 16:52:48,519, 1105, 499, 525, 5562, 12527, 9443, 3748, 12961, 920
2024-07-09 16:52:51,519, 1104, 500, 523, 5558, 12508, 9429, 3749, 12947, 925
2024-07-09 16:52:53,519, 1103, 499, 524, 5557, 12505, 9426, 3746, 12937, 925
2024-07-09 16:52:55,518, 1102, 498, 522, 5556, 12490, 9415, 3742, 12927, 925
2024-07-09 16:52:57,518, 1103, 500, 523, 5556, 12488, 9419, 3740, 12926, 919
2024-07-09 16:52:59,520, 1101, 500, 521, 5548, 12487, 9417, 3740, 12931, 922
2024-07-09 16:53:01,521, 1102, 500, 523, 5544, 12459, 9407, 3741, 12913, 923
2024-07-09 16:53:03,518, 1101, 499, 522, 5549, 12479, 9416, 3747, 12919, 925
