time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:55:25,3275, 32440, 12385, 18515, 22647, 19095, 12975, 6395, 40944, 1731
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:55:28,1745, 11972, 3773, 5407, 11306, 11931, 8344, 3614, 24137, 1058
2024-07-09 16:55:30,1743, 11959, 3758, 5399, 11269, 11915, 8334, 3610, 24068, 1054
2024-07-09 16:55:32,1738, 11943, 3759, 5385, 11267, 11902, 8327, 3612, 24045, 1054
2024-07-09 16:55:35,1739, 11930, 3753, 5367, 11247, 11895, 8321, 3609, 24039, 1053
2024-07-09 16:55:37,1740, 11928, 3751, 5368, 11256, 11897, 8322, 3607, 24013, 1054
2024-07-09 16:55:39,1735, 11905, 3743, 5359, 11243, 11896, 8321, 3614, 24020, 1054
2024-07-09 16:55:41,1738, 11902, 3741, 5344, 11251, 11892, 8319, 3610, 24014, 1055
2024-07-09 16:55:43,1741, 11902, 3743, 5341, 11224, 11884, 8307, 3607, 23960, 1052
2024-07-09 16:55:45,1729, 11850, 3725, 5318, 11175, 11837, 8279, 3591, 23857, 1047
2024-07-09 16:55:47,1730, 11864, 3725, 5322, 11185, 11858, 8291, 3595, 23887, 1049
