time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 17:03:24,3280, 32486, 12390, 18530, 22575, 19025, 12939, 6375, 40729, 1723
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 17:03:28,3050, 23499, 9560, 14362, 17469, 14726, 10285, 4742, 42017, 1562
2024-07-09 17:03:30,3054, 23494, 9564, 14361, 17460, 14724, 10300, 4745, 42020, 1563
2024-07-09 17:03:32,3054, 23481, 9564, 14342, 17454, 14714, 10301, 4750, 42003, 1565
2024-07-09 17:03:34,3055, 23482, 9563, 14341, 17448, 14707, 10294, 4743, 41976, 1567
2024-07-09 17:03:36,3057, 23491, 9559, 14343, 17457, 14711, 10298, 4743, 42003, 1564
2024-07-09 17:03:38,3055, 23431, 9548, 14312, 17454, 14704, 10279, 4744, 41950, 1564
2024-07-09 17:03:40,3053, 23466, 9552, 14326, 17430, 14693, 10289, 4737, 41946, 1562
2024-07-09 17:03:42,3054, 23459, 9562, 14327, 17437, 14691, 10281, 4738, 41959, 1562
2024-07-09 17:03:44,3054, 23443, 9550, 14321, 17426, 14687, 10273, 4737, 41933, 1566
2024-07-09 17:03:47,3057, 23451, 9559, 14316, 17405, 14673, 10274, 4731, 41894, 1560
