time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:57:42,3262, 32262, 12315, 18411, 22590, 19045, 12948, 6373, 40803, 1728
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:57:46,2952, 22345, 8698, 13129, 17366, 15182, 10563, 4822, 40473, 1570
2024-07-09 16:57:48,2950, 22354, 8708, 13124, 17354, 15171, 10547, 4827, 40458, 1569
2024-07-09 16:57:50,2955, 22361, 8703, 13136, 17350, 15160, 10554, 4818, 40481, 1566
2024-07-09 16:57:52,2950, 22339, 8707, 13107, 17329, 15138, 10531, 4814, 40420, 1564
2024-07-09 16:57:54,2951, 22344, 8710, 13112, 17324, 15141, 10536, 4813, 40407, 1565
2024-07-09 16:57:57,2949, 22338, 8713, 13106, 17327, 15132, 10538, 4814, 40423, 1563
2024-07-09 16:57:59,2950, 22338, 8716, 13130, 17326, 15131, 10537, 4814, 40433, 1560
2024-07-09 16:58:01,2956, 22340, 8717, 13115, 17323, 15126, 10535, 4813, 40421, 1561
2024-07-09 16:58:03,2954, 22337, 8717, 13113, 17310, 15113, 10523, 4809, 40399, 1562
2024-07-09 16:58:05,2951, 22322, 8719, 13113, 17315, 15117, 10523, 4809, 40400, 1566
