time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 17:00:10,3273, 32420, 12376, 18503, 22622, 19066, 12968, 6379, 40880, 1727
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 17:00:13,2489, 19324, 7909, 11634, 14429, 12212, 8567, 3975, 34109, 1271
2024-07-09 17:00:15,2489, 19296, 7904, 11599, 14397, 12199, 8548, 3966, 34034, 1272
2024-07-09 17:00:17,2487, 19278, 7896, 11589, 14394, 12197, 8548, 3965, 34031, 1270
2024-07-09 17:00:20,2482, 19229, 7882, 11557, 14367, 12179, 8534, 3959, 33994, 1270
2024-07-09 17:00:22,2485, 19225, 7886, 11560, 14366, 12179, 8533, 3960, 33959, 1270
2024-07-09 17:00:24,2481, 19206, 7877, 11548, 14352, 12164, 8525, 3954, 33932, 1265
2024-07-09 17:00:26,2479, 19209, 7871, 11533, 14323, 12142, 8516, 3956, 33893, 1267
2024-07-09 17:00:28,2479, 19190, 7867, 11534, 14327, 12139, 8512, 3955, 33860, 1264
2024-07-09 17:00:30,2477, 19180, 7855, 11512, 14325, 12136, 8500, 3951, 33850, 1264
2024-07-09 17:00:32,2474, 19140, 7855, 11515, 14297, 12130, 8497, 3949, 33811, 1260
