time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:44:30,3262, 32306, 12350, 18444, 22614, 19037, 12964, 6382, 40865, 1729
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-09 16:44:33,3052, 23519, 9610, 14440, 17584, 14835, 10362, 4782, 42260, 1583
2024-07-09 16:44:35,3059, 23540, 9602, 14447, 17566, 14804, 10367, 4778, 42237, 1582
2024-07-09 16:44:38,3053, 23507, 9613, 14448, 17557, 14811, 10367, 4776, 42194, 1576
2024-07-09 16:44:40,3055, 23515, 9611, 14420, 17549, 14804, 10360, 4777, 42210, 1577
2024-07-09 16:44:42,3053, 23467, 9603, 14402, 17521, 14769, 10343, 4770, 42141, 1576
2024-07-09 16:44:44,3048, 23454, 9599, 14399, 17518, 14777, 10347, 4769, 42145, 1581
2024-07-09 16:44:46,3054, 23474, 9600, 14391, 17488, 14740, 10327, 4764, 42068, 1574
2024-07-09 16:44:48,3049, 23434, 9595, 14377, 17513, 14769, 10337, 4766, 42075, 1573
2024-07-09 16:44:50,3047, 23443, 9596, 14394, 17514, 14776, 10341, 4768, 42116, 1574
2024-07-09 16:44:52,3045, 23428, 9591, 14367, 17506, 14759, 10337, 4770, 42057, 1575
