time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-12-19 13:32:11,0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2024-12-19 13:32:13,5, 10, 14, 45, 87, 89, 75, 35, 138, 11
2024-12-19 13:32:15,7, 16, 21, 67, 130, 133, 112, 53, 207, 16
2024-12-19 13:32:16,10, 21, 28, 89, 173, 177, 149, 71, 275, 22
2024-12-19 13:32:18,12, 26, 36, 112, 216, 221, 186, 88, 343, 28
2024-12-19 13:32:20,15, 32, 43, 134, 259, 265, 223, 106, 412, 33
2024-12-19 13:32:22,17, 37, 50, 156, 302, 308, 260, 123, 479, 39
2024-12-19 13:32:23,20, 42, 57, 178, 344, 351, 296, 141, 546, 44
2024-12-19 13:32:25,22, 47, 64, 200, 386, 395, 333, 158, 614, 50
2024-12-19 13:32:27,25, 53, 71, 222, 429, 439, 370, 176, 681, 56
2024-12-19 13:32:28,27, 58, 78, 244, 472, 483, 407, 194, 750, 61
2024-12-19 13:32:30,30, 63, 86, 266, 514, 526, 443, 211, 818, 67
2024-12-19 13:32:32,32, 69, 93, 288, 556, 569, 480, 228, 884, 72
2024-12-19 13:32:34,34, 74, 100, 309, 597, 611, 515, 245, 950, 78
2024-12-19 13:32:35,37, 79, 107, 331, 639, 653, 551, 262, 1015, 83
2024-12-19 13:32:37,39, 84, 114, 353, 682, 697, 588, 280, 1084, 89
2024-12-19 13:32:39,42, 90, 121, 375, 723, 739, 624, 297, 1151, 94
2024-12-19 13:32:40,44, 95, 128, 396, 765, 782, 660, 315, 1219, 100
2024-12-19 13:32:42,47, 100, 135, 418, 808, 826, 697, 333, 1288, 106
2024-12-19 13:32:44,49, 106, 143, 441, 850, 869, 734, 350, 1354, 111
2024-12-19 13:32:46,52, 111, 150, 461, 890, 911, 769, 367, 1419, 116
2024-12-19 13:32:47,54, 116, 157, 482, 931, 952, 803, 384, 1483, 122
2024-12-19 13:32:49,56, 121, 164, 503, 974, 996, 841, 402, 1551, 127
2024-12-19 13:32:51,59, 126, 171, 525, 1014, 1037, 876, 419, 1616, 133
2024-12-19 13:32:52,61, 132, 178, 546, 1056, 1080, 913, 436, 1683, 138
2024-12-19 13:32:54,64, 137, 185, 568, 1096, 1121, 948, 453, 1747, 143
2024-12-19 13:32:56,66, 142, 192, 589, 1136, 1162, 982, 470, 1809, 149
2024-12-19 13:32:58,68, 147, 199, 610, 1178, 1204, 1018, 487, 1877, 154
2024-12-19 13:32:59,71, 152, 206, 630, 1217, 1244, 1053, 503, 1939, 159
2024-12-19 13:33:01,73, 157, 213, 651, 1257, 1286, 1088, 520, 2003, 165
2024-12-19 13:33:03,76, 163, 220, 672, 1296, 1325, 1121, 537, 2066, 170
2024-12-19 13:33:04,78, 168, 227, 693, 1339, 1370, 1159, 555, 2135, 175
2024-12-19 13:33:06,80, 173, 234, 714, 1378, 1409, 1193, 571, 2198, 181
2024-12-19 13:33:08,83, 178, 241, 734, 1420, 1452, 1229, 589, 2264, 186
2024-12-19 13:33:09,85, 184, 248, 756, 1458, 1491, 1262, 605, 2326, 191
2024-12-19 13:33:11,88, 189, 256, 776, 1499, 1533, 1297, 622, 2390, 197
2024-12-19 13:33:13,90, 194, 262, 796, 1539, 1574, 1333, 639, 2455, 202
2024-12-19 13:33:15,92, 199, 269, 816, 1577, 1612, 1366, 655, 2515, 207
2024-12-19 13:33:16,95, 204, 277, 838, 1619, 1654, 1402, 672, 2580, 212
2024-12-19 13:33:18,97, 209, 283, 857, 1657, 1694, 1436, 689, 2644, 218
2024-12-19 13:33:20,99, 214, 291, 878, 1696, 1734, 1469, 705, 2706, 222
2024-12-19 13:33:21,102, 219, 297, 899, 1739, 1778, 1508, 723, 2776, 228
2024-12-19 13:33:23,104, 225, 305, 921, 1776, 1817, 1540, 740, 2836, 233
2024-12-19 13:33:25,106, 230, 312, 940, 1815, 1856, 1574, 756, 2899, 238
2024-12-19 13:33:27,109, 235, 319, 960, 1855, 1896, 1610, 773, 2961, 244
2024-12-19 13:33:28,111, 240, 326, 979, 1893, 1936, 1642, 790, 3025, 249
2024-12-19 13:33:30,113, 245, 333, 1001, 1932, 1975, 1677, 806, 3086, 254
2024-12-19 13:33:32,115, 250, 339, 1020, 1970, 2014, 1710, 822, 3148, 259
2024-12-19 13:33:33,118, 255, 346, 1040, 2011, 2057, 1746, 839, 3215, 265
2024-12-19 13:33:35,120, 260, 353, 1060, 2050, 2096, 1780, 856, 3278, 270
2024-12-19 13:33:37,122, 265, 361, 1081, 2089, 2136, 1814, 873, 3338, 275
2024-12-19 13:33:39,125, 271, 368, 1102, 2127, 2176, 1847, 890, 3402, 280
2024-12-19 13:33:40,127, 276, 375, 1122, 2167, 2216, 1882, 907, 3466, 285
2024-12-19 13:33:42,129, 281, 382, 1141, 2206, 2257, 1917, 924, 3533, 291
2024-12-19 13:33:44,132, 286, 389, 1161, 2246, 2296, 1951, 940, 3593, 296
2024-12-19 13:33:45,134, 291, 396, 1182, 2283, 2335, 1984, 956, 3653, 301
2024-12-19 13:33:47,136, 296, 403, 1200, 2320, 2372, 2017, 972, 3714, 306
2024-12-19 13:33:49,139, 301, 410, 1222, 2360, 2415, 2052, 990, 3781, 311
2024-12-19 13:33:51,141, 307, 417, 1242, 2397, 2453, 2084, 1007, 3842, 316
2024-12-19 13:33:52,143, 312, 424, 1262, 2433, 2490, 2117, 1022, 3900, 321
2024-12-19 13:33:54,145, 316, 431, 1280, 2475, 2532, 2153, 1039, 3967, 326
2024-12-19 13:33:56,147, 321, 438, 1299, 2512, 2569, 2185, 1055, 4026, 331
2024-12-19 13:33:57,150, 326, 445, 1319, 2551, 2608, 2219, 1072, 4088, 337
2024-12-19 13:33:59,152, 332, 452, 1338, 2589, 2649, 2252, 1089, 4149, 341
2024-12-19 13:34:01,154, 337, 459, 1359, 2623, 2682, 2282, 1103, 4204, 346
2024-12-19 13:34:03,156, 342, 466, 1378, 2664, 2724, 2318, 1120, 4272, 351
2024-12-19 13:34:04,159, 347, 473, 1397, 2699, 2759, 2349, 1135, 4330, 356
2024-12-19 13:34:06,161, 352, 480, 1416, 2737, 2798, 2383, 1152, 4394, 361
2024-12-19 13:34:08,163, 357, 487, 1436, 2774, 2838, 2416, 1168, 4452, 366
2024-12-19 13:34:09,165, 362, 494, 1457, 2811, 2875, 2448, 1184, 4509, 371
2024-12-19 13:34:11,167, 366, 500, 1473, 2843, 2909, 2477, 1198, 4566, 376
2024-12-19 13:34:13,170, 371, 508, 1492, 2885, 2951, 2514, 1216, 4632, 381
2024-12-19 13:34:15,172, 376, 514, 1511, 2917, 2983, 2542, 1230, 4685, 386
2024-12-19 13:34:16,174, 381, 522, 1532, 2954, 3023, 2576, 1247, 4746, 390
2024-12-19 13:34:18,176, 386, 528, 1549, 2994, 3063, 2611, 1265, 4809, 396
2024-12-19 13:34:20,178, 391, 535, 1568, 3032, 3101, 2643, 1281, 4871, 401
2024-12-19 13:34:21,181, 396, 543, 1587, 3065, 3135, 2672, 1296, 4927, 406
2024-12-19 13:34:23,183, 401, 549, 1605, 3101, 3172, 2704, 1311, 4980, 410
2024-12-19 13:34:25,185, 406, 555, 1623, 3135, 3206, 2735, 1326, 5035, 415
2024-12-19 13:34:26,187, 411, 562, 1643, 3168, 3242, 2764, 1341, 5090, 419
2024-12-19 13:34:28,189, 415, 569, 1660, 3204, 3277, 2795, 1356, 5147, 424
2024-12-19 13:34:30,191, 420, 576, 1679, 3240, 3314, 2827, 1372, 5206, 428
2024-12-19 13:34:32,193, 425, 582, 1696, 3273, 3347, 2856, 1386, 5259, 433
2024-12-19 13:34:33,195, 429, 588, 1713, 3310, 3384, 2890, 1402, 5321, 438
2024-12-19 13:34:35,197, 434, 595, 1732, 3347, 3422, 2922, 1418, 5377, 443
2024-12-19 13:34:37,199, 439, 603, 1752, 3386, 3463, 2956, 1435, 5443, 448
2024-12-19 13:34:38,202, 444, 609, 1770, 3419, 3497, 2985, 1450, 5501, 453
2024-12-19 13:34:40,204, 449, 616, 1789, 3455, 3535, 3016, 1466, 5557, 457
2024-12-19 13:34:42,206, 455, 624, 1810, 3496, 3577, 3053, 1485, 5628, 463
2024-12-19 13:34:44,208, 459, 631, 1828, 3528, 3609, 3082, 1498, 5678, 468
2024-12-19 13:34:45,210, 464, 637, 1845, 3566, 3648, 3115, 1515, 5743, 472
2024-12-19 13:34:47,212, 469, 644, 1864, 3604, 3686, 3150, 1532, 5804, 478
2024-12-19 13:34:49,215, 474, 651, 1883, 3639, 3726, 3181, 1549, 5858, 482
2024-12-19 13:34:50,217, 480, 659, 1905, 3673, 3759, 3211, 1564, 5909, 487
2024-12-19 13:34:52,219, 484, 665, 1921, 3706, 3791, 3240, 1577, 5969, 491
2024-12-19 13:34:54,221, 488, 672, 1938, 3739, 3825, 3268, 1591, 6022, 496
2024-12-19 13:34:56,223, 493, 678, 1955, 3776, 3864, 3302, 1609, 6084, 501
2024-12-19 13:34:57,225, 498, 685, 1973, 3811, 3899, 3331, 1623, 6141, 505
2024-12-19 13:34:59,227, 503, 692, 1991, 3849, 3937, 3367, 1640, 6206, 511
2024-12-19 13:35:01,229, 508, 699, 2011, 3883, 3973, 3397, 1656, 6263, 515
2024-12-19 13:35:02,231, 513, 706, 2028, 3918, 4008, 3428, 1672, 6317, 520
2024-12-19 13:35:04,233, 517, 712, 2046, 3949, 4041, 3455, 1686, 6367, 524
2024-12-19 13:35:06,236, 522, 720, 2065, 3986, 4079, 3489, 1701, 6434, 529
2024-12-19 13:35:08,238, 527, 726, 2082, 4021, 4114, 3520, 1717, 6488, 534
2024-12-19 13:35:09,240, 532, 733, 2101, 4052, 4146, 3547, 1731, 6541, 538
2024-12-19 13:35:11,242, 537, 739, 2117, 4085, 4176, 3576, 1744, 6591, 542
2024-12-19 13:35:13,244, 541, 746, 2135, 4121, 4217, 3609, 1762, 6649, 548
2024-12-19 13:35:14,246, 546, 753, 2152, 4157, 4253, 3641, 1778, 6706, 552
2024-12-19 13:35:16,248, 551, 760, 2171, 4191, 4289, 3671, 1793, 6766, 557
2024-12-19 13:35:18,250, 555, 766, 2186, 4221, 4319, 3697, 1806, 6815, 561
2024-12-19 13:35:20,252, 560, 773, 2203, 4257, 4356, 3730, 1822, 6879, 566
2024-12-19 13:35:21,254, 564, 779, 2221, 4290, 4391, 3759, 1837, 6934, 570
2024-12-19 13:35:23,256, 570, 786, 2241, 4322, 4421, 3787, 1851, 6985, 575
2024-12-19 13:35:25,258, 574, 792, 2256, 4353, 4456, 3815, 1866, 7036, 579
2024-12-19 13:35:26,260, 579, 799, 2274, 4390, 4493, 3848, 1882, 7094, 584
2024-12-19 13:35:28,262, 584, 806, 2291, 4423, 4527, 3879, 1897, 7152, 588
2024-12-19 13:35:30,264, 588, 812, 2307, 4454, 4560, 3906, 1911, 7200, 593
2024-12-19 13:35:32,266, 592, 818, 2323, 4484, 4589, 3934, 1925, 7255, 597
2024-12-19 13:35:33,268, 597, 825, 2343, 4519, 4626, 3963, 1940, 7311, 602
2024-12-19 13:35:35,270, 602, 832, 2359, 4554, 4661, 3994, 1955, 7368, 606
2024-12-19 13:35:37,272, 606, 838, 2374, 4589, 4694, 4025, 1971, 7429, 611
2024-12-19 13:35:38,274, 611, 845, 2394, 4623, 4731, 4057, 1986, 7482, 616
2024-12-19 13:35:40,276, 615, 851, 2412, 4650, 4762, 4082, 2000, 7526, 619
2024-12-19 13:35:42,278, 619, 857, 2427, 4680, 4793, 4108, 2014, 7569, 623
2024-12-19 13:35:43,279, 623, 863, 2440, 4712, 4825, 4137, 2027, 7624, 627
2024-12-19 13:35:45,281, 628, 869, 2458, 4737, 4851, 4160, 2038, 7669, 631
2024-12-19 13:35:47,283, 631, 874, 2470, 4767, 4882, 4185, 2052, 7717, 635
2024-12-19 13:35:49,285, 636, 880, 2486, 4799, 4913, 4215, 2066, 7768, 639
2024-12-19 13:35:50,286, 639, 886, 2500, 4829, 4942, 4242, 2080, 7821, 644
2024-12-19 13:35:52,289, 644, 893, 2520, 4865, 4982, 4274, 2096, 7874, 648
2024-12-19 13:35:54,290, 648, 899, 2535, 4897, 5014, 4303, 2110, 7929, 652
2024-12-19 13:35:55,292, 653, 905, 2550, 4924, 5043, 4329, 2122, 7975, 656
