time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2025-04-17 16:01:35,139, 620, 286, 583, 645, 615, 446, 205, 542, 52
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2025-04-17 16:01:39,2051, 7938, 4206, 6642, 7615, 6751, 5015, 2160, 17079, 1269
2025-04-17 16:01:41,2073, 7961, 4238, 6665, 7542, 6695, 4985, 2145, 17182, 1262
2025-04-17 16:01:43,2078, 7968, 4240, 6680, 7688, 6797, 5077, 2177, 17164, 1279
2025-04-17 16:01:45,2081, 7992, 4264, 6721, 7690, 6831, 5054, 2189, 17287, 1289
2025-04-17 16:01:47,2047, 7896, 4211, 6640, 7659, 6788, 5056, 2173, 17349, 1284
2025-04-17 16:01:49,2078, 7982, 4256, 6702, 7479, 6629, 4926, 2128, 16585, 1239
2025-04-17 16:01:53,22, 4, 2, 1, 0, 0, 0, 0, 21, 0
2025-04-17 16:01:55,25, 5, 2, 1, 0, 0, 0, 0, 22, 0
2025-04-17 16:01:57,24, 4, 2, 1, 0, 0, 0, 0, 20, 0
2025-04-17 16:02:00,19, 3, 2, 0, 0, 0, 0, 0, 17, 0
