time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-05 00:36:05,0, 0, 0, 1, 0, 0, 0, 1, 0, 2
2024-07-05 00:36:07,44, 372, 136, 217, 271, 230, 151, 72, 260, 8
2024-07-05 00:36:10,90, 748, 277, 439, 544, 465, 304, 147, 525, 26
2024-07-05 00:36:12,122, 999, 370, 587, 727, 620, 406, 197, 699, 38
2024-07-05 00:36:15,169, 1375, 510, 807, 998, 853, 560, 271, 962, 54
2024-07-05 00:36:18,200, 1621, 602, 951, 1184, 1012, 663, 321, 1139, 68
2024-07-05 00:36:20,248, 1999, 744, 1173, 1453, 1241, 815, 394, 1399, 84
2024-07-05 00:36:23,278, 2245, 836, 1318, 1635, 1397, 917, 444, 1574, 96
2024-07-05 00:36:26,327, 2621, 978, 1539, 1907, 1629, 1071, 518, 1835, 114
2024-07-05 00:36:28,358, 2870, 1070, 1684, 2087, 1783, 1172, 567, 2010, 124
2024-07-05 00:36:31,403, 3238, 1209, 1902, 2358, 2014, 1324, 641, 2269, 142
2024-07-05 00:36:33,451, 3620, 1351, 2123, 2632, 2249, 1478, 716, 2535, 160
2024-07-05 00:36:36,482, 3867, 1443, 2268, 2809, 2400, 1577, 764, 2705, 170
2024-07-05 00:36:39,529, 4241, 1583, 2488, 3085, 2633, 1731, 840, 2968, 188
2024-07-05 00:36:41,562, 4491, 1678, 2636, 3263, 2790, 1833, 889, 3143, 200
2024-07-05 00:36:44,609, 4862, 1819, 2853, 3536, 3022, 1986, 963, 3404, 216
2024-07-05 00:36:46,641, 5114, 1913, 2999, 3717, 3175, 2087, 1012, 3580, 230
2024-07-05 00:36:49,688, 5490, 2053, 3221, 3992, 3408, 2242, 1087, 3841, 246
2024-07-05 00:36:52,719, 5734, 2147, 3364, 4168, 3559, 2341, 1136, 4012, 258
2024-07-05 00:36:54,764, 6102, 2285, 3578, 4442, 3792, 2494, 1209, 4273, 272
2024-07-05 00:36:57,815, 6488, 2429, 3806, 4715, 4027, 2650, 1285, 4540, 292
2024-07-05 00:37:00,844, 6740, 2524, 3951, 4894, 4182, 2750, 1334, 4713, 304
2024-07-05 00:37:02,893, 7113, 2666, 4172, 5167, 4415, 2904, 1409, 4975, 322
2024-07-05 00:37:05,923, 7363, 2760, 4319, 5354, 4573, 3007, 1459, 5154, 332
2024-07-05 00:37:07,971, 7734, 2900, 4537, 5623, 4803, 3159, 1534, 5412, 350
2024-07-05 00:37:10,1006, 7992, 2998, 4686, 5807, 4958, 3262, 1585, 5592, 362
2024-07-05 00:37:13,1053, 8371, 3141, 4908, 6079, 5189, 3414, 1658, 5853, 380
2024-07-05 00:37:15,1085, 8629, 3237, 5059, 6257, 5347, 3518, 1707, 6027, 390
2024-07-05 00:37:18,1132, 9004, 3380, 5279, 6538, 5582, 3674, 1784, 6295, 410
2024-07-05 00:37:21,1164, 9255, 3474, 5424, 6719, 5743, 3778, 1835, 6474, 422
2024-07-05 00:37:23,1213, 9635, 3618, 5645, 6992, 5967, 3929, 1908, 6733, 438
2024-07-05 00:37:26,1260, 10009, 3761, 5867, 7268, 6210, 4084, 1985, 7005, 456
2024-07-05 00:37:28,1294, 10275, 3862, 6020, 7456, 6367, 4189, 2035, 7182, 466
2024-07-05 00:37:31,1344, 10658, 4005, 6246, 7729, 6599, 4344, 2110, 7446, 484
2024-07-05 00:37:34,1376, 10907, 4101, 6390, 7908, 6754, 4447, 2160, 7622, 496
2024-07-05 00:37:36,1424, 11286, 4244, 6614, 8187, 6990, 4602, 2237, 7889, 514
2024-07-05 00:37:39,1457, 11546, 4343, 6764, 8375, 7153, 4704, 2288, 8065, 526
2024-07-05 00:37:41,1504, 11915, 4486, 6979, 8637, 7379, 4855, 2361, 8329, 544
2024-07-05 00:37:44,1537, 12171, 4582, 7132, 8830, 7535, 4961, 2412, 8503, 556
2024-07-05 00:37:47,1585, 12551, 4726, 7352, 9109, 7776, 5119, 2488, 8778, 572
2024-07-05 00:37:49,1635, 12938, 4875, 7579, 9378, 8005, 5270, 2563, 9037, 592
2024-07-05 00:37:52,1666, 13182, 4968, 7720, 9560, 8159, 5373, 2612, 9208, 602
2024-07-05 00:37:55,1716, 13568, 5115, 7943, 9839, 8399, 5530, 2689, 9478, 620
