time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:16:06,4756, 35828, 22054, 26596, 37661, 27046, 21964, 8402, 57439, 4296
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:16:09,1076, 9623, 2489, 4554, 5600, 6393, 3243, 2016, 15685, 870
2024-07-06 21:16:10,1078, 9627, 2491, 4555, 5602, 6390, 3242, 2018, 15682, 867
2024-07-06 21:16:11,1079, 9631, 2492, 4555, 5601, 6388, 3241, 2017, 15684, 866
2024-07-06 21:16:12,1079, 9633, 2492, 4557, 5596, 6381, 3240, 2017, 15665, 868
2024-07-06 21:16:13,1078, 9627, 2491, 4554, 5593, 6382, 3236, 2015, 15654, 868
2024-07-06 21:16:14,1078, 9620, 2488, 4554, 5594, 6381, 3235, 2017, 15652, 866
2024-07-06 21:16:15,1079, 9627, 2491, 4552, 5589, 6382, 3234, 2015, 15646, 864
2024-07-06 21:16:16,1076, 9613, 2489, 4546, 5576, 6365, 3226, 2012, 15615, 866
2024-07-06 21:16:17,1075, 9603, 2486, 4543, 5579, 6365, 3222, 2012, 15606, 866
2024-07-06 21:16:19,1078, 9619, 2493, 4555, 5592, 6373, 3230, 2016, 15646, 866
