time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-23 13:29:14,25, 311, 140, 168, 193, 198, 91, 70, 69," 6
"
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-23 13:29:16,41, 317, 124, 186, 233, 199, 129, 65, 238," 14
"
2024-06-23 13:29:17,41, 317, 124, 186, 233, 199, 129, 65, 238," 14
"
2024-06-23 13:29:17,41, 317, 124, 187, 233, 199, 129, 65, 237," 14
"
2024-06-23 13:29:18,41, 318, 124, 187, 233, 199, 129, 65, 238," 14
"
2024-06-23 13:29:19,41, 317, 124, 187, 232, 199, 129, 64, 238," 14
"
2024-06-23 13:29:19,41, 317, 124, 187, 232, 199, 129, 64, 238," 14
"
2024-06-23 13:29:20,41, 317, 124, 186, 233, 199, 129, 65, 238," 14
"
2024-06-23 13:29:20,41, 317, 124, 186, 232, 200, 129, 65, 238," 14
"
2024-06-23 13:29:21,41, 318, 124, 186, 232, 199, 129, 64, 238," 14
"
2024-06-23 13:29:21,41, 318, 124, 186, 232, 199, 129, 65, 237," 14
"
