time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:24:04,5995, 47785, 18897, 27658, 30328, 32831, 19705, 10430, 58151, 3664
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-07-06 21:24:06,1894, 10875, 4619, 7031, 7882, 7263, 4931, 2183, 24764, 890
2024-07-06 21:24:08,1895, 10878, 4623, 7032, 7900, 7282, 4943, 2189, 24826, 892
2024-07-06 21:24:09,1897, 10883, 4625, 7033, 7896, 7274, 4939, 2188, 24812, 892
2024-07-06 21:24:10,1897, 10883, 4629, 7037, 7898, 7274, 4945, 2189, 24815, 892
2024-07-06 21:24:11,1898, 10891, 4629, 7034, 7899, 7274, 4944, 2188, 24828, 892
2024-07-06 21:24:12,1897, 10892, 4632, 7034, 7896, 7272, 4941, 2188, 24816, 892
2024-07-06 21:24:13,1897, 10886, 4627, 7032, 7896, 7278, 4940, 2189, 24827, 890
2024-07-06 21:24:14,1898, 10883, 4629, 7032, 7895, 7275, 4941, 2187, 24815, 892
2024-07-06 21:24:15,1898, 10879, 4630, 7027, 7892, 7268, 4941, 2188, 24813, 890
2024-07-06 21:24:16,1899, 10882, 4634, 7031, 7894, 7270, 4938, 2187, 24810, 890
