time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:09:58,2354, 29853, 13596, 16151, 18486, 18907, 8759, 6691, 6528, 372
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:10:01,223, 1689, 478, 781, 1521, 1623, 1146, 467, 1455, 104
2024-06-27 03:10:02,224, 1692, 479, 781, 1523, 1624, 1146, 468, 1453, 104
2024-06-27 03:10:03,223, 1696, 479, 779, 1521, 1621, 1144, 468, 1451, 104
2024-06-27 03:10:04,223, 1687, 476, 779, 1522, 1621, 1145, 468, 1453, 104
2024-06-27 03:10:05,223, 1693, 479, 781, 1522, 1623, 1145, 468, 1455, 104
2024-06-27 03:10:06,224, 1701, 481, 784, 1520, 1621, 1144, 467, 1451, 102
2024-06-27 03:10:07,224, 1698, 480, 784, 1517, 1625, 1145, 468, 1451, 104
2024-06-27 03:10:08,224, 1699, 479, 784, 1522, 1622, 1143, 468, 1452, 104
2024-06-27 03:10:09,224, 1704, 481, 785, 1527, 1623, 1144, 469, 1452, 104
2024-06-27 03:10:11,225, 1706, 481, 787, 1518, 1622, 1143, 468, 1450, 102
