time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-23 13:47:08,25, 311, 140, 168, 193, 198, 92, 70, 69," 6
"
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-23 13:47:10,41, 317, 124, 186, 232, 198, 129, 65, 237," 14
"
2024-06-23 13:47:10,41, 317, 124, 186, 232, 198, 128, 65, 237," 14
"
2024-06-23 13:47:11,41, 316, 124, 186, 232, 198, 129, 64, 237," 14
"
2024-06-23 13:47:12,41, 316, 124, 186, 232, 198, 128, 64, 237," 14
"
2024-06-23 13:47:12,41, 316, 124, 186, 232, 198, 129, 64, 237," 14
"
2024-06-23 13:47:13,41, 317, 124, 186, 232, 198, 129, 64, 237," 14
"
2024-06-23 13:47:13,41, 317, 124, 185, 232, 198, 128, 64, 237," 14
"
2024-06-23 13:47:14,41, 316, 125, 186, 232, 198, 129, 64, 237," 14
"
2024-06-23 13:47:14,41, 317, 124, 186, 231, 199, 128, 64, 237," 14
"
2024-06-23 13:47:15,41, 316, 124, 186, 233, 199, 130, 65, 238," 16
"
