time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:16:05,2301, 29285, 13429, 15811, 18067, 18547, 8528, 6586, 6167, 350
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:16:07,1065, 7376, 2728, 4311, 5560, 5046, 3303, 1464, 6845, 462
2024-06-27 03:16:08,1068, 7385, 2732, 4313, 5563, 5048, 3306, 1464, 6849, 462
2024-06-27 03:16:10,1068, 7381, 2735, 4315, 5564, 5045, 3306, 1465, 6852, 460
2024-06-27 03:16:11,1070, 7388, 2735, 4316, 5560, 5046, 3304, 1464, 6850, 460
2024-06-27 03:16:12,1070, 7391, 2737, 4316, 5564, 5050, 3306, 1466, 6854, 462
2024-06-27 03:16:13,1069, 7388, 2736, 4318, 5561, 5043, 3304, 1466, 6848, 460
2024-06-27 03:16:14,1070, 7394, 2739, 4323, 5567, 5051, 3307, 1467, 6857, 462
2024-06-27 03:16:15,1070, 7391, 2740, 4317, 5562, 5050, 3305, 1466, 6850, 460
2024-06-27 03:16:16,1070, 7396, 2740, 4322, 5567, 5052, 3309, 1467, 6855, 462
2024-06-27 03:16:17,1071, 7399, 2741, 4325, 5571, 5054, 3310, 1469, 6857, 460
