time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:28:26,2297, 29268, 13392, 15799, 18065, 18527, 8518, 6571, 6152, 348
time,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,NIR
2024-06-27 03:28:28,1269, 9262, 3573, 5576, 6636, 5885, 3735, 1777, 8134, 516
2024-06-27 03:28:29,1258, 9200, 3554, 5538, 6630, 5877, 3728, 1774, 8127, 516
2024-06-27 03:28:31,1266, 9244, 3570, 5563, 6641, 5887, 3735, 1778, 8142, 516
2024-06-27 03:28:32,1266, 9238, 3567, 5560, 6615, 5866, 3722, 1773, 8115, 514
2024-06-27 03:28:33,1266, 9242, 3571, 5560, 6629, 5878, 3730, 1774, 8130, 514
2024-06-27 03:28:34,1263, 9227, 3567, 5556, 6608, 5852, 3716, 1768, 8093, 514
2024-06-27 03:28:35,1265, 9239, 3571, 5559, 6638, 5886, 3735, 1779, 8137, 516
2024-06-27 03:28:36,1271, 9257, 3576, 5573, 6639, 5888, 3738, 1778, 8141, 516
2024-06-27 03:28:37,1267, 9245, 3575, 5562, 6628, 5876, 3728, 1776, 8126, 516
2024-06-27 03:28:38,1269, 9254, 3576, 5568, 6639, 5886, 3736, 1778, 8145, 516
